{'epoches': 100, 'batch_size': 1000, 'initLR': 0.003, 'weights': None, 'trainpath': '../data/train.txt', 'validpath': '../data/val.txt', 'restore': '', 'savename': '../models/FastWSI_vgg_epoch_', 'net': 'myVGG', 'loss': 'CrossEntropyLoss', 'nWorker': 8, 'momentum': 0.9, 'decay': 1e-05, 'nCls': 2, 'seed': 3, 'gpu': '0'}
####################Loading dataset...
####################Loading criterion and optimizer...
####################Start training...
Current LR: 0.003
Iteration   1 loss 5.386602
Iteration   2 loss 5.672640
Iteration   3 loss 7.051258
Iteration   4 loss 10.668927
Iteration   5 loss 9.267684
Iteration   6 loss 4.949420
Iteration   7 loss 4.759191
Iteration   8 loss 3.403506
Iteration   9 loss 3.845850
Iteration  10 loss 3.067508
Iteration  11 loss 2.452535
Iteration  12 loss 2.763605
Iteration  13 loss 1.127969
Iteration  14 loss 1.365188
Iteration  15 loss 1.336576
Iteration  16 loss 1.362648
Iteration  17 loss 2.179902
Iteration  18 loss 1.765124
Iteration  19 loss 2.184689
Iteration  20 loss 1.312719
Iteration  21 loss 1.787934
Iteration  22 loss 1.458896
Iteration  23 loss 1.188299
Iteration  24 loss 0.945221
Iteration  25 loss 1.156098
Iteration  26 loss 0.859771
Iteration  27 loss 0.757428
Iteration  28 loss 0.828863
Iteration  29 loss 0.685554
Iteration  30 loss 0.678585
Iteration  31 loss 0.759048
Iteration  32 loss 0.699457
Iteration  33 loss 0.861330
Iteration  34 loss 0.789640
Iteration  35 loss 0.744616
Iteration  36 loss 0.654476
Iteration  37 loss 0.856379
Iteration  38 loss 0.649347
Iteration  39 loss 0.599948
Iteration  40 loss 0.671069
Iteration  41 loss 0.574457
Iteration  42 loss 0.577463
Iteration  43 loss 0.614002
Iteration  44 loss 0.657480
Iteration  45 loss 0.567911
Iteration  46 loss 0.546124
Iteration  47 loss 0.639972
Iteration  48 loss 0.580799
Iteration  49 loss 0.590334
Iteration  50 loss 0.546181
Iteration  51 loss 0.562185
Iteration  52 loss 0.561296
Iteration  53 loss 0.558559
Iteration  54 loss 0.528958
Iteration  55 loss 0.504947
Iteration  56 loss 0.558411
Iteration  57 loss 0.509223
Iteration  58 loss 0.524809
Iteration  59 loss 0.562305
Iteration  60 loss 0.523961
Iteration  61 loss 0.507230
Iteration  62 loss 0.503092
Iteration  63 loss 0.516870
Iteration  64 loss 0.519487
Iteration  65 loss 0.493829
Iteration  66 loss 0.511025
Iteration  67 loss 0.516126
Iteration  68 loss 0.544649
Iteration  69 loss 0.525554
Iteration  70 loss 0.515955
Iteration  71 loss 0.484696
Iteration  72 loss 0.494762
Iteration  73 loss 0.542132
Iteration  74 loss 0.542873
Iteration  75 loss 0.508267
Iteration  76 loss 0.468125
Iteration  77 loss 0.501490
Iteration  78 loss 0.504441
Iteration  79 loss 0.507292
Iteration  80 loss 0.477626
Iteration  81 loss 0.490481
Iteration  82 loss 0.499114
Iteration  83 loss 0.505175
Iteration  84 loss 0.492494
Iteration  85 loss 0.474048
Iteration  86 loss 0.499150
Iteration  87 loss 0.480932
Iteration  88 loss 0.478356
Iteration  89 loss 0.512232
Iteration  90 loss 0.537194
Iteration  91 loss 0.455243
Iteration  92 loss 0.475083
Iteration  93 loss 0.471583
Iteration  94 loss 0.592249
Iteration  95 loss 0.460677
Iteration  96 loss 0.484310
Iteration  97 loss 0.501328
Iteration  98 loss 0.486027
Iteration  99 loss 0.482342
Iteration 100 loss 0.489002
Iteration 101 loss 0.495135
Iteration 102 loss 0.484175
Iteration 103 loss 0.481092
Iteration 104 loss 0.471676
Iteration 105 loss 0.498931
Iteration 106 loss 0.489375
Iteration 107 loss 0.447196
Iteration 108 loss 0.460194
Iteration 109 loss 0.516235
Iteration 110 loss 0.508119
Iteration 111 loss 0.505870
Iteration 112 loss 0.532697
Iteration 113 loss 0.553011
Iteration 114 loss 0.496386
Iteration 115 loss 0.481526
Iteration 116 loss 0.487777
Iteration 117 loss 0.455900
Iteration 118 loss 0.480696
Iteration 119 loss 0.441534
Iteration 120 loss 0.498255
Iteration 121 loss 0.522702
Iteration 122 loss 0.504291
Iteration 123 loss 0.479939
Iteration 124 loss 0.490386
Iteration 125 loss 0.490806
Iteration 126 loss 0.469845
Iteration 127 loss 0.466168
Iteration 128 loss 0.475057
Iteration 129 loss 0.469004
Iteration 130 loss 0.477549
Iteration 131 loss 0.554090
Iteration 132 loss 0.466378
Iteration 133 loss 0.493848
Iteration 134 loss 0.458491
Iteration 135 loss 0.448714
Iteration 136 loss 0.456562
Iteration 137 loss 0.509105
Iteration 138 loss 0.537467
Iteration 139 loss 0.483400
Iteration 140 loss 0.462105
Iteration 141 loss 0.507269
Iteration 142 loss 0.464905
Iteration 143 loss 0.493747
Iteration 144 loss 0.469428
Iteration 145 loss 0.488573
Iteration 146 loss 0.494105
Iteration 147 loss 0.490515
Iteration 148 loss 0.435053
Iteration 149 loss 0.508405
Iteration 150 loss 0.475990
Iteration 151 loss 0.493065
Iteration 152 loss 0.478966
Iteration 153 loss 0.489858
Iteration 154 loss 0.482181
Iteration 155 loss 0.452760
Iteration 156 loss 0.477687
Iteration 157 loss 0.478486
Iteration 158 loss 0.473059
Iteration 159 loss 0.472616
Iteration 160 loss 0.469099
Iteration 161 loss 0.520637
Epoch  0--Time(s)104.15--Avgloss0.9597-
Model has been saved!
0it [00:00, ?it/s]1it [00:04,  4.40s/it]2it [00:04,  3.15s/it]3it [00:04,  2.25s/it]4it [00:04,  1.62s/it]5it [00:05,  1.17s/it]6it [00:05,  1.16it/s]7it [00:05,  1.55it/s]8it [00:05,  2.02it/s]9it [00:08,  1.32s/it]10it [00:09,  1.14s/it]11it [00:09,  1.18it/s]12it [00:09,  1.58it/s]13it [00:09,  2.07it/s]14it [00:10,  2.64it/s]15it [00:10,  3.25it/s]16it [00:10,  3.85it/s]17it [00:13,  1.07s/it]18it [00:13,  1.07it/s]19it [00:14,  1.44it/s]20it [00:14,  1.89it/s]21it [00:14,  2.42it/s]22it [00:14,  3.04it/s]23it [00:14,  3.63it/s]24it [00:14,  4.29it/s]25it [00:17,  1.03s/it]26it [00:18,  1.06it/s]27it [00:18,  1.42it/s]28it [00:18,  1.86it/s]29it [00:18,  2.33it/s]30it [00:18,  2.92it/s]31it [00:19,  3.46it/s]32it [00:19,  4.05it/s]33it [00:21,  1.01it/s]34it [00:22,  1.07it/s]35it [00:22,  1.43it/s]36it [00:23,  1.88it/s]37it [00:23,  2.37it/s]38it [00:23,  2.98it/s]39it [00:23,  3.60it/s]40it [00:23,  4.26it/s]41it [00:26,  1.07it/s]42it [00:27,  1.06s/it]43it [00:27,  1.27it/s]44it [00:27,  1.69it/s]45it [00:28,  2.19it/s]46it [00:28,  2.78it/s]47it [00:28,  3.38it/s]48it [00:28,  4.04it/s]49it [00:30,  1.28it/s]50it [00:31,  1.07it/s]51it [00:31,  1.43it/s]52it [00:32,  1.89it/s]53it [00:32,  2.42it/s]54it [00:32,  3.04it/s]55it [00:32,  3.67it/s]56it [00:32,  4.34it/s]57it [00:34,  1.37it/s]58it [00:34,  1.74it/s]59it [00:34,  2.26it/s]60it [00:34,  2.86it/s]61it [00:36,  1.58it/s]61it [00:36,  1.68it/s]==============================
          |  predict          
          |  Postive  Negtive 
==============================
  Postive |  8431    6923      =  15354
  Negtive |  3948    41408      =  45356
==============================
